month_year,loan_type,number_of_accounts,number_of_past_due_accounts,outstanding_balance
201801,30ARM,"1,234,567","2,987","1,533,256"
201802,30ARM,"1,234,894","2,995","1,645,368"
201803,30ARM,"1,245,100","2,989","1,785,258"
201804,30ARM,"1,244,227","2,897","1,435,122"
201805,30ARM," 1,675,839 "," 3,057 "," 1,485,869 "
201806,30ARM," 1,110,551 "," 2,621 "," 1,241,228 "
201807,30ARM," 1,204,843 "," 3,102 "," 1,785,133 "
201808,30ARM," 1,254,815 "," 2,174 "," 1,349,662 "
201809,30ARM," 1,296,046 "," 1,790 "," 1,200,315 "
201810,30ARM," 1,366,452 "," 1,712 "," 1,797,511 "
201811,30ARM," 1,250,620 "," 2,140 "," 1,503,793 "
201812,30ARM," 1,233,897 "," 3,110 "," 1,994,028 "
201901,30ARM," 1,238,709 "," 3,058 "," 1,334,447 "
201902,30ARM," 1,173,728 "," 2,107 "," 1,414,808 "
201903,30ARM," 1,435,716 "," 2,175 "," 1,782,324 "
201904,30ARM," 1,543,865 "," 1,722 "," 1,795,381 "
201905,30ARM," 1,539,047 "," 1,496 "," 1,956,131 "
201906,30ARM," 1,658,124 "," 2,657 "," 1,476,426 "
201907,30ARM," 1,625,549 "," 3,173 "," 1,441,105 "
201908,30ARM," 1,052,987 "," 2,030 "," 1,390,575 "
201909,30ARM," 1,030,377 "," 2,234 "," 1,265,624 "
201910,30ARM," 1,216,065 "," 1,733 "," 1,493,079 "
201911,30ARM," 1,460,359 "," 2,144 "," 1,149,043 "
201912,30ARM," 1,489,999 "," 2,094 "," 1,170,350 "
202001,30ARM," 1,519,154 "," 2,130 "," 1,804,163 "
202002,30ARM," 1,411,211 "," 1,630 "," 1,420,734 "
202003,30ARM," 1,257,268 "," 1,508 "," 1,777,505 "
202004,30ARM," 1,360,004 "," 1,747 "," 1,519,002 "
202005,30ARM," 1,611,532 "," 2,870 "," 1,748,259 "
202006,30ARM," 1,283,991 "," 2,356 "," 1,359,992 "
202007,30ARM," 1,110,300 "," 1,544 "," 1,698,417 "
202008,30ARM," 1,460,332 "," 3,031 "," 1,526,312 "
202009,30ARM," 1,399,943 "," 1,870 "," 1,741,391 "
202010,30ARM," 1,663,164 "," 1,604 "," 1,524,723 "
202011,30ARM," 1,448,379 "," 2,258 "," 1,586,945 "
202012,30ARM," 1,473,742 "," 2,967 "," 1,941,476 "
